Value,LastModifiedDateUTC
"Charlotte County, Virginia",2019-06-04 22:00:14.557
"Charlottesville, City of, Virginia",2019-06-04 22:00:14.557
"Charlton County, Georgia",2019-06-04 22:00:14.557
"Chase County, Kansas",2019-06-04 22:00:14.557
"Chase County, Nebraska",2019-06-04 22:00:14.557
"Chatham County, Georgia",2019-06-04 22:00:14.557
"Chatham County, North Carolina",2019-06-04 22:00:14.557
"Chattahoochee County, Georgia",2019-06-04 22:00:14.557
"Chattooga County, Georgia",2019-06-04 22:00:14.557
"Chautauqua County, Kansas",2019-06-04 22:00:14.557
"Chautauqua County, New York",2019-06-04 22:00:14.557
"Chaves County, New Mexico",2019-06-04 22:00:14.557
"Cheatham County, Tennessee",2019-06-04 22:00:14.557
"Cheboygan County, Michigan",2019-06-04 22:00:14.557
"Chelan County, Washington",2019-06-04 22:00:14.557
"Chemung County, New York",2019-06-04 22:00:14.557
"Chenango County, New York",2019-06-04 22:00:14.557
"Cherokee County, Alabama",2019-06-04 22:00:14.557
"Cherokee County, Georgia",2019-06-04 22:00:14.557
"Cherokee County, Iowa",2019-06-04 22:00:14.557
"Cherokee County, Kansas",2019-06-04 22:00:14.557
"Cherokee County, North Carolina",2019-06-04 22:00:14.557
"Cherokee County, Oklahoma",2019-06-04 22:00:14.557
"Cherokee County, South Carolina",2019-06-04 22:00:14.557
"Cherokee County, Texas",2019-06-04 22:00:14.557
"Cherry County, Nebraska",2019-06-04 22:00:14.557
"Chesapeake, City of, Virginia",2019-06-04 22:00:14.557
"Cheshire County, New Hampshire",2019-06-04 22:00:14.557
"Chester County, Pennsylvania",2019-06-04 22:00:14.557
"Chester County, South Carolina",2019-06-04 22:00:14.557
"Chester County, Tennessee",2019-06-04 22:00:14.557
"Chesterfield County, South Carolina",2019-06-04 22:00:14.557
"Chesterfield County, Virginia",2019-06-04 22:00:14.557
"Cheyenne County, Colorado",2019-06-04 22:00:14.557
"Cheyenne County, Kansas",2019-06-04 22:00:14.557
"Cheyenne County, Nebraska",2019-06-04 22:00:14.557
"Chickasaw County, Iowa",2019-06-04 22:00:14.557
"Chickasaw County, Mississippi",2019-06-04 22:00:14.557
"Chicot County, Arkansas",2019-06-04 22:00:14.557
"Childress County, Texas",2019-06-04 22:00:14.557
"Chilton County, Alabama",2019-06-04 22:00:14.557
"Chippewa County, Michigan",2019-06-04 22:00:14.557
"Chippewa County, Minnesota",2019-06-04 22:00:14.557
"Chippewa County, Wisconsin",2019-06-04 22:00:14.557
"Chisago County, Minnesota",2019-06-04 22:00:14.557
"Chittenden County, Vermont",2019-06-04 22:00:14.557
"Choctaw County, Alabama",2019-06-04 22:00:14.557
"Choctaw County, Mississippi",2019-06-04 22:00:14.557
